name,artists,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
"Aasa Kooda - From ""Think Indie""","Sai Abhyankkar, Sai Smriti",0MTdYgTZ25sLCO6kVnDoje,74,0.675,0.537,5,-9.401,1,0.0352,0.48,0.00112,0.12,0.534,98.003,audio_features,spotify:track:0MTdYgTZ25sLCO6kVnDoje,https://api.spotify.com/v1/tracks/0MTdYgTZ25sLCO6kVnDoje,https://api.spotify.com/v1/audio-analysis/0MTdYgTZ25sLCO6kVnDoje,215510,4
Tharangal,"Govind Vasantha, Jeba Niyaz, Siddharth Menon",5WFHOKxv1PY4hxetsOsT5D,39,0.33,0.382,2,-8.218,0,0.0332,0.476,0.000348,0.191,0.128,150.106,audio_features,spotify:track:5WFHOKxv1PY4hxetsOsT5D,https://api.spotify.com/v1/tracks/5WFHOKxv1PY4hxetsOsT5D,https://api.spotify.com/v1/audio-analysis/5WFHOKxv1PY4hxetsOsT5D,325555,3
Kadharalz,Anirudh Ravichander,77OQsnAirm7Ke8EGgBeOxz,71,0.671,0.902,1,-5.411,1,0.298,0.0638,0.00466,0.539,0.735,160.025,audio_features,spotify:track:77OQsnAirm7Ke8EGgBeOxz,https://api.spotify.com/v1/tracks/77OQsnAirm7Ke8EGgBeOxz,https://api.spotify.com/v1/audio-analysis/77OQsnAirm7Ke8EGgBeOxz,234023,4
Hridhayavum,"Vineeth Sreenivasan, Jyotsna",49c8WVOkcKtTemZ7pN7kqI,50,0.699,0.471,4,-9.726,1,0.0366,0.738,0.0,0.177,0.633,109.994,audio_features,spotify:track:49c8WVOkcKtTemZ7pN7kqI,https://api.spotify.com/v1/tracks/49c8WVOkcKtTemZ7pN7kqI,https://api.spotify.com/v1/audio-analysis/49c8WVOkcKtTemZ7pN7kqI,305296,4
Ballaatha Jaathi,"NJ, BABY JEAN, Dabzee, Rzee",4tYxGORIOZSPLnZmrSpva7,70,0.832,0.618,1,-7.086,0,0.141,0.239,0.000518,0.515,0.868,95.98,audio_features,spotify:track:4tYxGORIOZSPLnZmrSpva7,https://api.spotify.com/v1/tracks/4tYxGORIOZSPLnZmrSpva7,https://api.spotify.com/v1/audio-analysis/4tYxGORIOZSPLnZmrSpva7,230000,4
Vattayila Pandalittu,"P. Jayachandran, K. S. Chithra",1MSwwZ7vKNFpvV8k5pT6sP,34,0.796,0.524,9,-8.7,1,0.0554,0.186,0.000375,0.077,0.746,149.919,audio_features,spotify:track:1MSwwZ7vKNFpvV8k5pT6sP,https://api.spotify.com/v1/tracks/1MSwwZ7vKNFpvV8k5pT6sP,https://api.spotify.com/v1/audio-analysis/1MSwwZ7vKNFpvV8k5pT6sP,263653,3
Illuminati,"Sushin Shyam, Dabzee, Vinayak Sasikumar",1a1xLj9W8libnO9PvJf6ao,72,0.783,0.817,11,-5.94,0,0.124,0.232,3.2e-06,0.215,0.553,138.002,audio_features,spotify:track:1a1xLj9W8libnO9PvJf6ao,https://api.spotify.com/v1/tracks/1a1xLj9W8libnO9PvJf6ao,https://api.spotify.com/v1/audio-analysis/1a1xLj9W8libnO9PvJf6ao,212525,4
Mele Vellithinkal,"Karthik, Meenu",4X54tVzCd1BQkcMBNY4xOd,41,0.714,0.495,2,-11.583,1,0.0291,0.208,0.0136,0.16,0.497,110.004,audio_features,spotify:track:4X54tVzCd1BQkcMBNY4xOd,https://api.spotify.com/v1/tracks/4X54tVzCd1BQkcMBNY4xOd,https://api.spotify.com/v1/audio-analysis/4X54tVzCd1BQkcMBNY4xOd,278760,1
"Whistle Podu (From ""The Greatest Of All Time"")","Thalapathy Vijay, Yuvan Shankar Raja, Madan Karky",6GH5qLVhOvbgRvqFdAKQ9a,67,0.646,0.882,1,-5.665,1,0.177,0.0413,4.34e-05,0.215,0.538,162.041,audio_features,spotify:track:6GH5qLVhOvbgRvqFdAKQ9a,https://api.spotify.com/v1/tracks/6GH5qLVhOvbgRvqFdAKQ9a,https://api.spotify.com/v1/audio-analysis/6GH5qLVhOvbgRvqFdAKQ9a,281269,4
Neelathamare,"Vidyasagar, Karthik",1MIfPdRJkCs4IMaHSmPmVG,38,0.566,0.846,9,-5.963,0,0.0576,0.104,0.000296,0.321,0.625,154.035,audio_features,spotify:track:1MIfPdRJkCs4IMaHSmPmVG,https://api.spotify.com/v1/tracks/1MIfPdRJkCs4IMaHSmPmVG,https://api.spotify.com/v1/audio-analysis/1MIfPdRJkCs4IMaHSmPmVG,275760,4
Poove Poove,"P. Jayachandran, K. S. Chithra",33KMGpHgQSyX9VnQKhJGN5,47,0.758,0.581,11,-9.81,0,0.0498,0.275,0.00116,0.0273,0.875,87.998,audio_features,spotify:track:33KMGpHgQSyX9VnQKhJGN5,https://api.spotify.com/v1/tracks/33KMGpHgQSyX9VnQKhJGN5,https://api.spotify.com/v1/audio-analysis/33KMGpHgQSyX9VnQKhJGN5,330120,4
nadaaniyan,Akshath,3bmsaFp11I9pbicxzlStf3,74,0.698,0.334,6,-6.297,0,0.0291,0.721,0.0,0.0836,0.694,94.123,audio_features,spotify:track:3bmsaFp11I9pbicxzlStf3,https://api.spotify.com/v1/tracks/3bmsaFp11I9pbicxzlStf3,https://api.spotify.com/v1/audio-analysis/3bmsaFp11I9pbicxzlStf3,171064,4
Armadham,"Sushin Shyam, Pranavam Sasi, Vinayak Sasikumar",18afrwnlrByAjhi3Ve0Ehn,72,0.711,0.788,9,-6.404,1,0.223,0.154,0.000596,0.132,0.426,146.968,audio_features,spotify:track:18afrwnlrByAjhi3Ve0Ehn,https://api.spotify.com/v1/tracks/18afrwnlrByAjhi3Ve0Ehn,https://api.spotify.com/v1/audio-analysis/18afrwnlrByAjhi3Ve0Ehn,173714,4
"Naa Ready (From ""Leo"")","Anirudh Ravichander, Thalapathy Vijay, Asal Kolaar",1B02UI29t3PTh3m98absaP,67,0.726,0.805,1,-5.576,1,0.153,0.081,0.00784,0.0318,0.572,87.956,audio_features,spotify:track:1B02UI29t3PTh3m98absaP,https://api.spotify.com/v1/tracks/1B02UI29t3PTh3m98absaP,https://api.spotify.com/v1/audio-analysis/1B02UI29t3PTh3m98absaP,248182,4
Aaluma Doluma,"Anirudh Ravichander, Badshah",1Do2hDE0etMakAEQbyOd4L,54,0.544,0.917,1,-5.853,1,0.201,0.0764,1.15e-06,0.346,0.638,160.672,audio_features,spotify:track:1Do2hDE0etMakAEQbyOd4L,https://api.spotify.com/v1/tracks/1Do2hDE0etMakAEQbyOd4L,https://api.spotify.com/v1/audio-analysis/1Do2hDE0etMakAEQbyOd4L,258032,4
Veyilpole Mazhapole - Soundtrack Version,Karthik,5TAbySvscKOKScFr8UxFWW,12,0.587,0.451,10,-11.709,1,0.036,0.591,0.000433,0.127,0.622,79.976,audio_features,spotify:track:5TAbySvscKOKScFr8UxFWW,https://api.spotify.com/v1/tracks/5TAbySvscKOKScFr8UxFWW,https://api.spotify.com/v1/audio-analysis/5TAbySvscKOKScFr8UxFWW,278027,4
Endhu Paranjaalum - Female Version,K. S. Chithra,2joEDRkMMB593yGWKWYsXI,40,0.714,0.5,4,-6.853,1,0.031,0.472,0.0,0.0994,0.766,135.037,audio_features,spotify:track:2joEDRkMMB593yGWKWYsXI,https://api.spotify.com/v1/tracks/2joEDRkMMB593yGWKWYsXI,https://api.spotify.com/v1/audio-analysis/2joEDRkMMB593yGWKWYsXI,289274,3
Oru Pushpam Mathramen,K. J. Yesudas,2Ig4LF3RHRhMrNe8SuW9gK,41,0.377,0.3,5,-14.149,0,0.0594,0.894,0.263,0.186,0.521,142.633,audio_features,spotify:track:2Ig4LF3RHRhMrNe8SuW9gK,https://api.spotify.com/v1/tracks/2Ig4LF3RHRhMrNe8SuW9gK,https://api.spotify.com/v1/audio-analysis/2Ig4LF3RHRhMrNe8SuW9gK,211333,4
